Sample	Unique Reads	Duplicate Reads
230929-COI-COL-071-B1_S107_L001_R1_001	20066.0	43355.0
230929-COI-COL-071-B1_S107_L001_R2_001	26573.0	36848.0
230929-COI-COL-071-B2_S108_L001_R1_001	24570.0	62932.0
230929-COI-COL-071-B2_S108_L001_R2_001	32203.0	55299.0
230929-COI-COL-071-B3_S109_L001_R1_001	27408.0	64786.0
230929-COI-COL-071-B3_S109_L001_R2_001	35653.0	56541.0
230929-COI-COL-071-S1_S104_L001_R1_001	14749.0	16696.0
230929-COI-COL-071-S1_S104_L001_R2_001	14321.0	17124.0
230929-COI-COL-071-S2_S105_L001_R1_001	21451.0	64888.0
230929-COI-COL-071-S2_S105_L001_R2_001	28447.0	57892.0
230929-COI-COL-071-S3_S106_L001_R1_001	18262.0	54310.0
230929-COI-COL-071-S3_S106_L001_R2_001	23210.0	49362.0
230929-COI-COL-072-B1_S113_L001_R1_001	21636.0	65965.0
230929-COI-COL-072-B1_S113_L001_R2_001	29060.0	58541.0
230929-COI-COL-072-B2_S114_L001_R1_001	14616.0	53551.0
230929-COI-COL-072-B2_S114_L001_R2_001	16622.0	51545.0
230929-COI-COL-072-S1_S110_L001_R1_001	24811.0	60568.0
230929-COI-COL-072-S1_S110_L001_R2_001	31299.0	54080.0
230929-COI-COL-072-S2_S111_L001_R1_001	25692.0	45909.0
230929-COI-COL-072-S2_S111_L001_R2_001	31962.0	39639.0
230929-COI-COL-072-S3_S112_L001_R1_001	17828.0	29233.0
230929-COI-COL-072-S3_S112_L001_R2_001	16965.0	30096.0
230929-COI-COL-073-B1_S118_L001_R1_001	23021.0	66218.0
230929-COI-COL-073-B1_S118_L001_R2_001	33720.0	55519.0
230929-COI-COL-073-B2_S119_L001_R1_001	21342.0	52931.0
230929-COI-COL-073-B2_S119_L001_R2_001	23698.0	50575.0
230929-COI-COL-073-B3_S120_L001_R1_001	20425.0	36455.0
230929-COI-COL-073-B3_S120_L001_R2_001	20597.0	36283.0
230929-COI-COL-073-S1_S115_L001_R1_001	15730.0	34725.0
230929-COI-COL-073-S1_S115_L001_R2_001	20437.0	30018.0
