Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>100	>500	>1k	>10k+	>5k	>50
230929-COI-COL-071-B1_S107_L001_R1_001										17.80325128900522	21.76723798111036	0.0	0.0	0.0	0.0	16.819350057551915
230929-COI-COL-071-B1_S107_L001_R2_001										9.534696709291875	12.569968937733558	7.432869238895634	18.549061036565178	0.0	0.0	3.1708740007253122
230929-COI-COL-071-B2_S108_L001_R1_001										16.85332906676419	29.25075998262897	0.0	0.0	0.0	0.0	14.622522913761971
230929-COI-COL-071-B2_S108_L001_R2_001										8.686658590660786	11.682018696715504	5.135882608397522	27.39594523553747	0.0	0.0	4.053621631505566
230929-COI-COL-071-B3_S109_L001_R1_001										16.264615918606417	27.97253617372063	0.0	0.0	0.0	0.0	14.50311300084604
230929-COI-COL-071-B3_S109_L001_R2_001										8.324836757272708	11.339132698440245	5.016595440050329	26.529926025554808	0.0	0.0	3.700891598151723
230929-COI-COL-071-S1_S104_L001_R1_001										38.52122754014947	0.0	0.0	0.0	0.0	0.0	4.315471458101447
230929-COI-COL-071-S1_S104_L001_R2_001										4.830656702178407	14.727301637780252	11.543965654317063	12.097312768325647	0.0	0.0	5.126411194148513
230929-COI-COL-071-S2_S105_L001_R1_001										19.260125783249748	33.23179559642803	0.0	0.0	0.0	0.0	15.435666384831883
230929-COI-COL-071-S2_S105_L001_R2_001										7.521514031897521	12.621179304833275	8.795561681279606	21.06927344537231	0.0	7.915310578070166	3.1746950972330006
230929-COI-COL-071-S3_S106_L001_R1_001										18.012456594829963	39.793584302485804	2.3369894725238387	0.0	0.0	0.0	6.926913961307392
230929-COI-COL-071-S3_S106_L001_R2_001										6.910378658435761	12.533759576696246	9.181226919473074	22.39431185581216	0.0	7.837733561153063	3.108636939866615
230929-COI-COL-072-B1_S113_L001_R1_001										14.31604662047237	44.545153594137055	2.432620632184564	0.0	0.0	0.0	4.562733302131254
230929-COI-COL-072-B1_S113_L001_R2_001										8.92683873471764	8.072967203570736	7.58210522710928	17.055741372815376	0.0	15.01124416387941	3.7659387449914954
230929-COI-COL-072-B2_S114_L001_R1_001										6.930039461909722	25.487405929555358	38.31179309636627	0.0	0.0	0.0	1.986298355509264
