	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B1_S107_L001_R1_001	117.0	52.0	355.0	800.0	57.0	0.0	2.0	1.0	2.0	1.0	0.0	42.0	5.0	0.0	1.0	0.0	4.0	13.0	78.0	56.0	7.0	6.0	76.0	4.0	4.0	3.0	2568.0	59167.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B1_S107_L001_R2_001	23.0	37.0	307.0	671.0	69.0	3.0	3.0	1.0	2.0	1.0	0.0	35.0	4.0	2.0	0.0	0.0	3.0	10.0	27.0	11.0	6.0	5.0	52.0	3.0	2.0	0.0	3415.0	58729.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B2_S108_L001_R1_001	153.0	72.0	410.0	704.0	67.0	2.0	6.0	0.0	5.0	0.0	4.0	32.0	4.0	0.0	1.0	0.0	7.0	6.0	122.0	112.0	14.0	4.0	122.0	2.0	4.0	2.0	4745.0	80902.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B2_S108_L001_R2_001	18.0	61.0	349.0	642.0	88.0	16.0	5.0	0.0	4.0	0.0	1.0	28.0	4.0	2.0	1.0	0.0	7.0	4.0	41.0	18.0	11.0	2.0	89.0	1.0	3.0	0.0	3938.0	82169.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B3_S109_L001_R1_001	143.0	100.0	884.0	1123.0	20.0	11.0	6.0	8.0	2.0	2.0	4.0	39.0	4.0	1.0	1.0	1.0	6.0	7.0	159.0	149.0	20.0	3.0	152.0	4.0	2.0	6.0	4599.0	84738.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-B3_S109_L001_R2_001	49.0	60.0	774.0	985.0	21.0	34.0	7.0	6.0	2.0	1.0	3.0	28.0	2.0	6.0	1.0	1.0	5.0	4.0	31.0	21.0	18.0	2.0	117.0	3.0	2.0	2.0	4210.0	85799.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S1_S104_L001_R1_001	69.0	14.0	788.0	840.0	38.0	2.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	148.0	140.0	4.0	1.0	5.0	2.0	1.0	0.0	3440.0	25946.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S1_S104_L001_R2_001	16.0	19.0	838.0	895.0	65.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	44.0	28.0	3.0	0.0	3.0	1.0	0.0	0.0	2092.0	27433.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S2_S105_L001_R1_001	147.0	406.0	353.0	1530.0	14.0	3.0	4.0	5.0	4.0	0.0	1.0	23.0	2.0	0.0	1.0	0.0	1.0	7.0	154.0	101.0	12.0	0.0	41.0	2.0	0.0	1.0	18920.0	64607.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S2_S105_L001_R2_001	38.0	291.0	311.0	1366.0	25.0	24.0	4.0	4.0	1.0	0.0	0.0	18.0	2.0	3.0	1.0	0.0	1.0	8.0	63.0	35.0	14.0	0.0	38.0	2.0	0.0	0.0	5464.0	78626.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S3_S106_L001_R1_001	90.0	112.0	388.0	700.0	26.0	1.0	1.0	2.0	13.0	1.0	0.0	14.0	1.0	0.0	1.0	0.0	0.0	2.0	117.0	80.0	5.0	2.0	63.0	0.0	3.0	2.0	1587.0	69361.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-071-S3_S106_L001_R2_001	18.0	90.0	345.0	637.0	29.0	12.0	1.0	1.0	11.0	0.0	0.0	12.0	1.0	1.0	0.0	0.0	0.0	2.0	51.0	22.0	5.0	3.0	44.0	0.0	0.0	1.0	4551.0	66735.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-B1_S113_L001_R1_001	377.0	363.0	1011.0	4998.0	22.0	3.0	4.0	3.0	3.0	2.0	1.0	10.0	1.0	1.0	3.0	0.0	4.0	5.0	99.0	106.0	3.0	1.0	9.0	1.0	3.0	1.0	22992.0	57575.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-B1_S113_L001_R2_001	57.0	283.0	822.0	4320.0	23.0	18.0	4.0	4.0	2.0	1.0	1.0	8.0	0.0	8.0	2.0	0.0	3.0	4.0	26.0	30.0	3.0	0.0	7.0	0.0	2.0	2.0	5788.0	76183.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
