Sample	per_sequence_gc_content	Total Sequences	per_sequence_quality_scores	per_base_sequence_quality	avg_sequence_length	basic_statistics	overrepresented_sequences	per_base_sequence_content	Total Bases	sequence_length_distribution	File type	Sequences flagged as poor quality	Sequence length	Encoding	per_tile_sequence_quality	median_sequence_length	sequence_duplication_levels	adapter_content	per_base_n_content	total_deduplicated_percentage	%GC	Filename
230929-COI-COL-071-B1_S107_L001_R1_001	fail	63421.0	pass	pass	295.02566973084623	pass	warn	fail	18.7 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	warn	301	fail	pass	pass	31.639362356317307	38.0	230929-COI-COL-071-B1_S107_L001_R1_001.fastq.gz
230929-COI-COL-071-B1_S107_L001_R2_001	fail	63421.0	pass	fail	296.1714101007553	pass	fail	fail	18.7 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	fail	301	fail	pass	warn	41.8993708708472	38.0	230929-COI-COL-071-B1_S107_L001_R2_001.fastq.gz
230929-COI-COL-071-B2_S108_L001_R1_001	fail	87502.0	pass	pass	296.28467920733243	pass	warn	fail	25.9 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	warn	301	fail	pass	pass	28.079358186098602	38.0	230929-COI-COL-071-B2_S108_L001_R1_001.fastq.gz
230929-COI-COL-071-B2_S108_L001_R2_001	fail	87502.0	pass	fail	297.2465886494023	pass	fail	fail	26 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	fail	301	fail	pass	warn	36.80144453841055	38.0	230929-COI-COL-071-B2_S108_L001_R2_001.fastq.gz
230929-COI-COL-071-B3_S109_L001_R1_001	fail	92194.0	pass	pass	294.1189448337202	pass	warn	fail	27 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	warn	301	fail	pass	pass	29.728615745059333	38.0	230929-COI-COL-071-B3_S109_L001_R1_001.fastq.gz
230929-COI-COL-071-B3_S109_L001_R2_001	fail	92194.0	pass	fail	295.39838818144347	pass	fail	fail	27.2 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	fail	301	fail	pass	warn	38.671713994403106	38.0	230929-COI-COL-071-B3_S109_L001_R2_001.fastq.gz
230929-COI-COL-071-S1_S104_L001_R1_001	fail	31445.0	pass	fail	285.91865161392906	pass	warn	fail	8.9 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	warn	301	fail	pass	pass	46.904118301796785	39.0	230929-COI-COL-071-S1_S104_L001_R1_001.fastq.gz
230929-COI-COL-071-S1_S104_L001_R2_001	warn	31445.0	pass	fail	286.19783749403723	pass	fail	fail	9 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	fail	301	fail	pass	warn	45.54301160756877	39.0	230929-COI-COL-071-S1_S104_L001_R2_001.fastq.gz
230929-COI-COL-071-S2_S105_L001_R1_001	fail	86339.0	pass	pass	292.18354393727054	pass	warn	fail	25.2 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	warn	301	fail	pass	pass	24.845087388086494	38.0	230929-COI-COL-071-S2_S105_L001_R1_001.fastq.gz
230929-COI-COL-071-S2_S105_L001_R2_001	fail	86339.0	pass	fail	294.60728060320366	pass	fail	fail	25.4 Mbp	warn	Conventional base calls	0.0	35-301	Sanger / Illumina 1.9	fail	301	fail	pass	warn	32.948030438156565	37.0	230929-COI-COL-071-S2_S105_L001_R2_001.fastq.gz
