Sample	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates
230929-COI-COL-071-B1_S107_L001_R1_001	301	38.0	295.02566973084623	27.27272727272727	63421.0	68.3606376436827
230929-COI-COL-071-B1_S107_L001_R2_001	301	38.0	296.1714101007553	54.54545454545454	63421.0	58.1006291291528
230929-COI-COL-071-B2_S108_L001_R1_001	301	38.0	296.28467920733243	27.27272727272727	87502.0	71.9206418139014
230929-COI-COL-071-B2_S108_L001_R2_001	301	38.0	297.2465886494023	54.54545454545454	87502.0	63.19855546158945
230929-COI-COL-071-B3_S109_L001_R1_001	301	38.0	294.1189448337202	27.27272727272727	92194.0	70.27138425494067
230929-COI-COL-071-B3_S109_L001_R2_001	301	38.0	295.39838818144347	54.54545454545454	92194.0	61.328286005596894
230929-COI-COL-071-S1_S104_L001_R1_001	301	39.0	285.91865161392906	36.36363636363637	31445.0	53.095881698203215
230929-COI-COL-071-S1_S104_L001_R2_001	301	39.0	286.19783749403723	45.45454545454545	31445.0	54.45698839243123
230929-COI-COL-071-S2_S105_L001_R1_001	301	38.0	292.18354393727054	27.27272727272727	86339.0	75.1549126119135
230929-COI-COL-071-S2_S105_L001_R2_001	301	37.0	294.60728060320366	54.54545454545454	86339.0	67.05196956184344
230929-COI-COL-071-S3_S106_L001_R1_001	301	39.0	296.0736234360359	27.27272727272727	72572.0	74.83602491318966
230929-COI-COL-071-S3_S106_L001_R2_001	301	39.0	296.6083751309045	54.54545454545454	72572.0	68.01796836245384
230929-COI-COL-072-B1_S113_L001_R1_001	301	38.0	280.24656111231604	27.27272727272727	87601.0	75.30165180762776
230929-COI-COL-072-B1_S113_L001_R2_001	301	37.0	285.3003390372256	54.54545454545454	87601.0	66.82686270704673
230929-COI-COL-072-B2_S114_L001_R1_001	301	37.0	294.27627737761674	36.36363636363637	68167.0	78.55854005603885
230929-COI-COL-072-B2_S114_L001_R2_001	301	35.0	297.7253949858436	54.54545454545454	68167.0	75.61576716006279
230929-COI-COL-072-S1_S110_L001_R1_001	301	35.0	275.2367443985055	27.27272727272727	85379.0	70.94016092950257
230929-COI-COL-072-S1_S110_L001_R2_001	301	35.0	280.1362630154956	54.54545454545454	85379.0	63.34110261305474
230929-COI-COL-072-S2_S111_L001_R1_001	301	36.0	235.40584628706304	27.27272727272727	71601.0	64.11781958352537
230929-COI-COL-072-S2_S111_L001_R2_001	301	36.0	243.86456893060154	54.54545454545454	71601.0	55.36235527436767
230929-COI-COL-072-S3_S112_L001_R1_001	301	37.0	287.29684877074436	27.27272727272727	47061.0	62.117252077091436
230929-COI-COL-072-S3_S112_L001_R2_001	301	36.0	288.5196022183974	54.54545454545454	47061.0	63.951042264295275
230929-COI-COL-073-B1_S118_L001_R1_001	301	38.0	297.7061038335257	27.27272727272727	89239.0	74.20298300070597
230929-COI-COL-073-B1_S118_L001_R2_001	301	38.0	298.37011844597095	54.54545454545454	89239.0	62.2138302760004
230929-COI-COL-073-B2_S119_L001_R1_001	301	37.0	296.13221493678725	27.27272727272727	74273.0	71.26546658947397
230929-COI-COL-073-B2_S119_L001_R2_001	301	36.0	297.7984462725351	54.54545454545454	74273.0	68.09338521400778
230929-COI-COL-073-B3_S120_L001_R1_001	301	37.0	296.31353727144864	27.27272727272727	56880.0	64.0928270042194
230929-COI-COL-073-B3_S120_L001_R2_001	301	36.0	296.80694444444447	54.54545454545454	56880.0	63.78867791842475
230929-COI-COL-073-S1_S115_L001_R1_001	301	37.0	295.1897136061837	27.27272727272727	50455.0	68.82370429095234
230929-COI-COL-073-S1_S115_L001_R2_001	301	36.0	296.8815380041621	54.54545454545454	50455.0	59.49459914775543
230929-COI-COL-073-S2_S116_L001_R1_001	301	39.0	296.785163925641	27.27272727272727	83971.0	77.43744864298388
230929-COI-COL-073-S2_S116_L001_R2_001	301	38.0	299.1917566779007	54.54545454545454	83971.0	65.57382906003264
230929-COI-COL-073-S3_S117_L001_R1_001	301	37.0	295.88523151546093	27.27272727272727	62674.0	74.23492995500527
230929-COI-COL-073-S3_S117_L001_R2_001	301	36.0	298.81748412419824	54.54545454545454	62674.0	64.66477327121294
230929-COI-COL-074-B1_S124_L001_R1_001	301	38.0	297.56364417034234	27.27272727272727	102476.0	75.90752956789882
230929-COI-COL-074-B1_S124_L001_R2_001	301	37.0	298.6046781685468	54.54545454545454	102476.0	64.04036066981537
